,x,y,z,cluster_labels_baseline
227,7.2664742,12.445498,2.8595107,VLR
228,6.9972153,11.612896,4.7855635,VLR
229,5.841696,10.417029,0.3342757,LRHB
230,5.344167,11.993916,3.8268564,VLR
231,7.103944,9.924094,3.3734088,VLR
232,8.516958,10.700771,3.3276582,VLR
233,0.75931895,8.238266,5.550129,LRMP
234,7.500626,12.8476305,2.4036777,VLR
235,5.124185,7.744281,7.450746,HRBF
236,4.5155144,12.1719,4.209279,VLR
237,5.3414106,9.4190035,5.674686,VLR
238,7.648227,10.483321,3.5096834,VLR
239,5.5471897,9.173197,5.976467,VLR
240,1.7652051,11.623672,2.8340867,LRMP
241,6.19644,5.7690053,2.0125244,HRBF
242,2.408514,7.0925994,5.3235908,HRBF
243,3.3163366,5.60821,-0.36824197,LRHB
244,4.886203,11.981411,5.8304086,VLR
245,8.016188,9.8960705,5.3156943,VLR
246,7.962273,12.75441,2.123105,VLR
247,5.8301206,5.333253,1.4385201,LRHB
248,7.735599,10.402668,3.5507042,VLR
249,3.004357,7.8667784,7.092742,LRMP
250,7.744507,10.956154,3.982296,VLR
251,8.526671,11.542616,4.0335846,VLR
252,4.9289336,10.74138,5.5925336,VLR
253,7.4563026,12.840924,3.5337706,VLR
254,5.8812866,3.35438,2.0329106,HRIR
255,4.7667313,12.931257,2.3747344,VLR
256,1.6941454,7.146628,4.6257033,LRMP
257,4.977778,9.729334,5.58077,LRMP
258,5.93299,4.3715944,3.5502493,HRBF
259,1.2449017,10.675784,3.7188118,LRMP
260,6.133541,9.6652975,3.3884895,VLR
261,5.567181,11.821496,5.18335,VLR
262,5.0046916,11.489307,4.1158447,VLR
263,2.3897617,5.3926225,1.6593504,LRHB
264,5.2795997,8.072619,4.1361694,HRBF
265,2.5717046,7.0714974,8.62949,LRMP
266,-0.043554273,4.7670693,8.202648,HRVP
267,4.9951577,9.8767,6.019626,VLR
268,1.0680908,7.4810123,5.338493,LRMP
269,-0.3850545,5.966095,8.385264,LRMP
270,6.291953,7.0707064,5.448904,HRBF
271,5.7112055,8.345604,5.378949,HRBF
272,1.3314052,8.156394,5.970261,LRMP
273,1.7237563,11.070206,2.3285272,LRMP
