,x,y,z,cluster_labels_baseline
287,7.400184,4.450754,8.513751,HRVP
288,-0.14151576,-1.7514877,5.3990564,VLR
289,6.2736373,7.1849403,7.290038,HRBF
290,5.473844,5.11401,6.341578,HRBF
291,2.7932158,3.2888787,7.4164777,HRBF
292,6.4305215,-0.61532944,5.5951076,LRMP
293,3.1988568,0.6143587,5.412133,LRMP
294,8.171707,7.154872,5.948941,HRVP
295,2.4524853,-0.9153165,6.875793,VLR
296,0.12929516,0.15417194,6.3287597,VLR
298,9.002049,8.020945,6.9389787,HRVP
299,3.9949038,3.4514024,7.7447267,HRBF
300,6.3227816,-1.0367435,6.4681296,LRMP
301,3.8684423,0.9745027,5.6355615,LRMP
302,1.9920216,1.6313984,7.4583206,VLR
304,2.0085874,-0.7155209,6.9905753,VLR
305,1.6492349,-1.4148577,4.5051847,VLR
306,5.4566336,2.9072638,8.170574,LRMP
307,8.203147,2.0739834,7.599352,LRMP
308,9.81896,5.117676,6.6262636,HRVP
309,-0.46989727,-0.21376097,7.362679,VLR
310,0.65722346,0.95015764,7.777762,VLR
311,-1.1870263,-0.76755315,5.5323315,VLR
312,6.443125,-0.032361478,5.656368,LRMP
313,-0.6360717,0.13035646,7.0040736,VLR
314,1.6272924,1.1270422,5.5259748,VLR
315,6.1100492,0.8783623,5.177523,LRMP
316,4.7861953,7.446543,6.344013,HRBF
318,9.718287,7.5888376,6.5235887,HRVP
319,6.333582,3.3708515,7.1058645,LRMP
320,5.2772465,-1.4432693,6.4421144,LRMP
321,3.4561732,0.16428615,7.5563407,LRMP
322,0.5986462,1.7441633,3.2710006,VLR
323,5.6274347,5.321802,9.00166,HRBF
324,5.2876706,1.0439761,8.866851,LRMP
325,6.6147842,6.965565,8.364385,HRBF
326,3.3989198,-0.06417802,7.9100003,VLR
327,5.598432,1.6336439,5.5405455,LRMP
328,7.2178087,3.3575904,7.2223,LRMP
329,0.18417133,-1.1046295,7.0152535,VLR
330,5.0443563,-0.0055727796,4.158463,LRMP
331,7.4729767,7.1904874,7.8569074,HRVP
332,1.6558354,2.1909845,4.0142846,VLR
333,7.546961,2.7309687,5.8764424,LRMP
335,3.129741,0.91429687,3.7391899,LRMP
336,1.5886796,-0.8825343,6.2573104,VLR
337,1.6721355,-2.5616844,6.0193553,VLR
338,5.6033163,6.8492365,6.5524807,HRBF
339,5.633201,-0.74890095,5.4479685,LRMP
340,6.2433996,0.61437196,5.2194347,LRMP
341,1.8256073,-0.5403825,6.383003,VLR
342,4.2347856,0.5524975,4.4677596,LRMP
343,8.196111,4.637036,4.900687,HRVP
344,3.7971807,0.58012044,8.647465,LRMP
345,4.4630513,1.8275911,8.201033,LRMP
346,-0.13978623,1.1395828,6.57083,VLR
347,1.8183795,-2.112421,4.111376,VLR
348,1.5039542,1.3758689,6.322115,VLR
349,3.8005826,-1.2880073,6.4387417,LRMP
350,8.766528,1.8153437,7.0995035,LRMP
351,0.13856499,-0.5152475,3.906471,VLR
352,0.7341214,0.43032527,6.230485,VLR
353,2.8600688,1.5343977,5.241438,VLR
354,3.3161225,3.0181994,5.4800916,LRMP
355,-0.077944174,-1.8345904,3.700014,VLR
356,3.015271,1.812829,8.701538,LRMP
357,5.2411942,0.7711261,6.7717447,LRMP
358,4.586721,1.6693238,3.5200343,LRHB
360,4.0278215,4.7571244,0.77407706,LRHB
361,8.534634,1.0814824,5.5792756,LRMP
362,8.957251,1.2814531,7.1401973,LRMP
363,-0.39023614,-1.1835864,3.2014384,VLR
364,0.32378596,-0.2996483,7.4362493,VLR
365,5.1055927,-0.26598167,6.526104,LRMP
366,1.1267663,-1.8452394,3.5325727,VLR
367,-0.18231614,-1.1507496,6.163839,VLR
368,7.757572,3.4850793,7.0651083,LRMP
369,2.7735703,-2.207949,4.7631326,VLR
371,1.9475648,0.7225698,4.9471107,VLR
372,1.2184917,-0.4727918,6.0793924,VLR
374,5.007685,7.5535445,3.497216,LRHB
375,8.912565,2.7198975,7.647291,HRVP
376,3.602763,-2.4681625,4.751642,VLR
377,5.5630493,4.8827686,9.398304,HRBF
378,4.331618,-0.39561388,7.4051814,LRMP
379,7.2208424,4.444582,6.7971416,HRVP
380,1.7731773,-0.025410516,2.6800156,VLR
381,-0.8867016,-1.6779684,4.1474414,VLR
382,5.1440477,0.45822895,6.3778954,LRMP
383,1.2246817,2.6208107,6.5254803,VLR
384,2.846232,0.12374369,7.9142795,VLR
385,4.2558637,-1.9349701,6.293162,LRMP
386,8.349041,2.3214817,6.5138397,LRMP
387,-0.043956544,0.31416085,4.3836675,VLR
388,0.519039,0.86691743,5.128542,VLR
389,6.0904784,5.7113338,7.69396,HRBF
390,1.6747042,2.6073565,6.7618184,VLR
391,5.868568,7.289317,1.6301402,LRHB
392,5.8767734,-0.12849443,6.3006816,LRMP
393,-1.0829643,0.12039708,6.0271835,VLR
394,5.1775446,-1.8781333,6.4007154,LRMP
395,8.859273,4.993079,6.307392,HRVP
396,5.5394907,-0.3591532,5.2501826,LRMP
397,5.200475,1.590296,7.809137,LRMP
398,0.14397164,2.1024,5.552893,VLR
399,-0.40102586,-0.69175875,3.1045618,VLR
400,2.7670517,1.7406938,6.7878103,VLR
402,2.6435478,-1.0673233,6.3442397,LRMP
403,1.765788,-0.57533526,7.700482,VLR
405,3.9643974,8.429499,3.5217183,LRHB
406,-0.18491367,1.8225535,3.5069947,VLR
408,0.0896722,-0.80221254,4.573056,VLR
